"laureate_known_name","laureate_gender","laureate_birth_date","laureate_birth_city","laureate_birth_country","laureate_current_city","laureate_current_country","laureate_continent","laureate_id","laureate_id (Right)","award_year","award_category_name","award_category_full_name","award_sort_order","award_portion","award_date","award_prize_status","award_motivation","award_prize_amount","affiliation_institute_name_then","affiliation_institute_name_now","affiliation_city_then","affiliation_country_then","affiliation_city_now","affiliation_country_now","affiliation_continent"
"Thomas C. Südhof","male","1955-12-22","Göttingen","Germany","Göttingen","Germany","Europe","886","886","2013","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","2013-10-07","received","for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",8000000,"Stanford University","Stanford University","Stanford, CA","USA","Stanford, CA","USA","North America"
"Thomas C. Südhof","male","1955-12-22","Göttingen","Germany","Göttingen","Germany","Europe","886","886","2013","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","2013-10-07","received","for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",8000000,"Howard Hughes Medical Institute","Howard Hughes Medical Institute",,"USA",,"USA","North America"
"Thomas H. Morgan","male","1866-09-25","Lexington, KY","USA","Lexington, KY","USA","North America","325","325","1933","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1933-10-20","received","for his discoveries concerning the role played by the chromosome in heredity",170332,"California Institute of Technology (Caltech)","California Institute of Technology (Caltech)","Pasadena, CA","USA","Pasadena, CA","USA","North America"
"Thomas H. Weller","male","1915-06-15","Ann Arbor, MI","USA","Ann Arbor, MI","USA","North America","357","357","1954","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","1954-10-21","received","for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue",181647,"Research Division of Infectious Diseases, Children's Medical Center","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA","USA","Boston, MA","USA","North America"
"Thomas J. Sargent","male","1943-07-19","Pasadena, CA","USA","Pasadena, CA","USA","North America","872","872","2011","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/2","2011-10-10","received","for their empirical research on cause and effect in the macroeconomy",10000000,"New York University","New York University","New York, NY","USA","New York, NY","USA","North America"
"Thomas Mann","male","1875-06-06","Lübeck","Germany","Lübeck","Germany","Europe","602","602","1929","Literature","The Nobel Prize in Literature","1","1","1929-11-12","received","principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature",172760,,,,,,,
"Thomas R. Cech","male","1947-12-08","Chicago, IL","USA","Chicago, IL","USA","North America","274","274","1989","Chemistry","The Nobel Prize in Chemistry","2","1/2","1989-10-12","received","for their discovery of catalytic properties of RNA",3000000,"University of Colorado","University of Colorado","Boulder, CO","USA","Boulder, CO","USA","North America"
"Tim Hunt","male","1943-02-19","Neston","United Kingdom","Neston","United Kingdom","Europe","736","736","2001","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","2001-10-08","received","for their discoveries of key regulators of the cell cycle",10000000,"Imperial Cancer Research Fund","Imperial Cancer Research Fund","London","United Kingdom","London","United Kingdom","Europe"
"Tjalling C. Koopmans","male","1910-08-28","'s Graveland","the Netherlands","'s Graveland","the Netherlands","Europe","687","687","1975","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","2","1/2","1975-10-14","received","for their contributions to the theory of optimum allocation of resources",630000,"Yale University","Yale University","New Haven, CT","USA","New Haven, CT","USA","North America"
"Tobias Asser","male","1838-04-28","Amsterdam","the Netherlands","Amsterdam","the Netherlands","Europe","478","478","1911","Peace","The Nobel Peace Prize","1","1/2","1911-12-10","received","for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",140695,,,,,,,
